ID,대분류,상호명,도로명주소,좌표X,좌표Y,위도,경도,카테고리,원본카테고리,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,영업시간,휴무일
7285,식품_일반음식점,홀리데이홀릭,"제주특별자치도 제주시 조천읍 함덕로 9, 1동 1층",169590.874603659,4956.15819135351,33.5406762,126.6734166,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,10:00~20:00,연중무휴
7286,식품_일반음식점,라라,"제주특별자치도 제주시 조천읍 남조로 1843-1, 제201동 1층 101호",169502.056306025,-7131.87192779149,33.4316895,126.672872,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7287,식품_일반음식점,무슈부부커피스탠드오리진,"제주특별자치도 제주시 구좌읍 구좌로 53, 1층",186667.958087257,2966.3941554072,33.5230871,126.857308,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,11:00~15:00,
7288,식품_일반음식점,내음커피바,"제주특별자치도 제주시 산지로 17, 나동 1~2층 (건입동)",156231.696620055,2194.52094927421,33.5153139,126.5297222,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,08:00~17:00,
7289,식품_일반음식점,빨간집외도점,"제주특별자치도 제주시 우정로13길 9, 1층 (외도일동)",147145.673618462,-888.958223711314,33.4871037,126.4321111,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),16:00~01:00,
7290,식품_일반음식점,안세미가든,"제주특별자치도 제주시 명림로 169, 1층 (봉개동)",163755.056884463,-2663.34368777066,33.4717981,126.6108943,한식(일반),기타,FD,음식,FD01,한식,FD019900,한식(일반),10:30~21:30,
7291,식품_일반음식점,오름족발,"제주특별자치도 제주시 동광로19길 22, 신산세기시장 연립주택 지001-3호 (일도이동)",157277.876720252,1635.54726449611,33.5103167,126.5410091,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7292,식품_일반음식점,거부,"제주특별자치도 제주시 제원4길 3, 1층 (연동)",152398.943408785,-998.90096415889,33.4863592,126.4886397,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),11:30~22:00,연중무휴
7293,식품_일반음식점,세화바당,"제주특별자치도 제주시 구좌읍 세화1길 7, 1층",186365.318820026,3089.21851844088,33.5241906,126.8540484,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,10:00~22:00,
7294,식품_일반음식점,루딕,"제주특별자치도 제주시 구남동2길 19-5, 1층 (이도이동)",156818.75,-710.414999999418,33.4891477,126.5361809,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,11:30~21:30,
7295,식품_일반음식점,에쿠스당구장,"제주특별자치도 제주시 삼무로 52, 3층 (연동)",152733.792510823,-636.408172452336,33.4896422,126.4922234,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7296,식품_일반음식점,디저트39이도점,"제주특별자치도 제주시 연신로 85, 1층 (이도이동)",158022.190233739,-144.299320715789,33.4942996,126.5491032,제과,기타,FD,음식,FD03,간이음식,FD030100,제과,,
7297,식품_일반음식점,아이츠키,"제주특별자치도 제주시 애월읍 엄장로 20, 1층",141766.808580407,-2546.32948574139,33.4718823,126.3743454,일식,일식,FD,음식,FD02,외국식,FD020200,일식,11:30~15:00,
7298,식품_일반음식점,용수네분식,제주특별자치도 제주시 한림읍 한수풀로4길 10,132399.520321752,-8185.09501195922,33.4204962,126.2740027,김밥 분식,기타,FD,음식,FD03,간이음식,FD030400,김밥 분식,08:00~17:00,
7299,식품_일반음식점,송당산들네,"제주특별자치도 제주시 구좌읍 대천서길 11-8, 1층",175176.964720212,-6731.60977620888,33.4354449,126.7338834,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:00~20:00,
7300,식품_일반음식점,디오커피랩,"제주특별자치도 제주시 과원로 70, 1층 (연동)",152618.539150477,-2193.37773510809,33.4756,126.4910656,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,09:00~22:00,
7301,식품_일반음식점,청춘다방,"제주특별자치도 제주시 귀아랑길 27, 1층 (연동)",153230.718901195,-469.199008576423,33.4911715,126.4975615,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,09:00~22:00,일요일
7302,식품_일반음식점,냉삼뷰,"제주특별자치도 제주시 사장2길 12, 1층 (연동)",152944.651638578,-1236.5859442422,33.4842405,126.4945237,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),15:00~02:30,목요일
7303,식품_일반음식점,가자우리집,제주특별자치도 제주시 임항로 44 (건입동),156218.574575085,2325.00103850482,33.5164897,126.5295746,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),07:00~15:00,
7304,식품_일반음식점,궁중삼계탕,제주특별자치도 제주시 광양8길 15-17 (이도이동),156023.607556103,427.720384765092,33.4993764,126.5275693,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7305,식품_일반음식점,샛터농원,"제주특별자치도 제주시 오현길 88, 2층 (이도일동)",155837.766438011,1891.05592409637,33.5125617,126.5254973,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,11:00~21:00,
7306,식품_일반음식점,신비국수국밥,제주특별자치도 제주시 중앙로24길 22 (삼도이동),155587.697437229,1170.38996858961,33.5060541,126.5228416,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7307,식품_일반음식점,보배쌤보리김치와게장,"제주특별자치도 제주시 애월읍 하귀12길 4, 왕빌딩 2층",145132.428939923,-1048.86089472723,33.4855607,126.4104595,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),08:00~21:00,
7308,식품_일반음식점,치킨플러스시청점,"제주특별자치도 제주시 동광로 41, 1층 (이도일동)",156533.766492807,801.843664541713,33.5027703,126.5330411,생맥주전문점,호프/통닭,FD,음식,FD04,주점,FD040200,생맥주전문점,14:00~23:59,
7309,식품_일반음식점,마트옆집,"제주특별자치도 제주시 추자면 추자로 70, 1층",134745.069673597,51763.7050784326,33.9610823,126.2948109,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),09:00~22:00,
7310,식품_일반음식점,브금,"제주특별자치도 제주시 애월읍 애월로 59-1, 에이동 1층",136120.681248509,-3377.68758517424,33.4640652,126.3136669,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,18:00~01:00,
7311,식품_일반음식점,돌담할망보말톳칼국수,"제주특별자치도 제주시 진군1길 27, 1층 (노형동)",151517.169301386,-1823.86975257775,33.478882,126.4791969,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),07:30~17:00,
7312,식품_일반음식점,카고크루즈,"제주특별자치도 제주시 탑동로 43 (삼도이동,(탑동로53))",155363.447596364,2450.15244164787,33.5175826,126.5203644,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),11:00~18:00,일요일
7313,식품_일반음식점,어슬렁포장마차,"제주특별자치도 제주시 신산로8길 1 (일도이동,(신선비1로3))",156518.188141876,1502.31427267102,33.5090849,126.5328394,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),18:00~24:00,
7314,식품_일반음식점,카페팔레트,"제주특별자치도 제주시 서해안로 368-10, 지하1층 (도두이동)",152054.564463247,1743.48892476692,33.5110682,126.4847875,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,10:00~18:00,
7315,식품_일반음식점,타코마씸,"제주특별자치도 제주시 구좌읍 해맞이해안로 474, 1층",181088.319994508,6524.10189986651,33.5550786,126.7971711,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,11:00~22:00,
7316,식품_일반음식점,노가리앤비어연동3호점,"제주특별자치도 제주시 국기로 5, 1층 (연동)",152527.205753183,-1562.3354747234,33.4812852,126.4900496,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,,
7317,식품_일반음식점,말고기연구소,"제주특별자치도 제주시 북성로 43, 1층 (삼도이동)",155355.59483586,2222.12643831306,33.5155265,126.5202912,김밥 분식,김밥(도시락),FD,음식,FD03,간이음식,FD030400,김밥 분식,,
7318,식품_일반음식점,짬뽕의정석,제주특별자치도 제주시 원노형5길 28 (노형동),151848.644015936,-895.964143962951,33.4872626,126.4827132,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),11:00~20:30,
7319,식품_일반음식점,제주미르,제주특별자치도 제주시 애월읍 하귀2리 2615-12,143715.084719164,-1236.10522522815,33.4837989,126.3952217,일식,일식,FD,음식,FD02,외국식,FD020200,일식,18:00~01:00,
7320,식품_일반음식점,맛드림,"제주특별자치도 제주시 일주동로 350-2, 1층 제1호 (삼양이동)",161115.719476171,2782.02335790709,33.5207996,126.5822643,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,,
7321,식품_일반음식점,동광생오리집,제주특별자치도 제주시 태성로2길 32 (일도이동),157888.616469469,574.80165472183,33.5007776,126.5476321,한식(일반),식육(숯불구이),FD,음식,FD01,한식,FD019900,한식(일반),17:00~21:20,
7322,식품_일반음식점,짚불도제주공항점,"제주특별자치도 제주시 월광로 87, 1층 (노형동)",150565.615002626,-787.498013501039,33.488182,126.4689024,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),12:00~24:00,
7323,식품_일반음식점,시로코,"제주특별자치도 제주시 용마서1길 27-7, 1층 (용담삼동)",153913.504865421,2319.13715713848,33.5163399,126.5047648,한식(일반),식육(숯불구이),FD,음식,FD01,한식,FD019900,한식(일반),09:00~23:30,연중무휴
7324,식품_일반음식점,광령맛집,제주특별자치도 제주시 애월읍 광령리 1248-2,147721.543953404,-3815.6793976047,33.4607458,126.4384778,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:00~15:00,
7325,식품_일반음식점,쉐프부부,"제주특별자치도 제주시 다랑곶길 15, 103호 (노형동)",151559.647167066,-839.805410174696,33.4877559,126.4796007,일식,일식,FD,음식,FD02,외국식,FD020200,일식,10:00~22:00,
7326,식품_일반음식점,예산가마솥장수촌설렁탕,"제주특별자치도 제주시 구남동8길 53, 1층 (아라일동)",156773.208840574,-1129.68431493146,33.4853659,126.5357111,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7327,식품_일반음식점,스텔라제주,제주특별자치도 제주시 한림읍 한림로 201,128225.350808355,-11929.2601891329,33.3864702,126.2294254,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,18:00~04:00,
7328,식품_일반음식점,금요일의아침조금,"제주특별자치도 제주시 가령골1길 12, 1층 (이도이동)",156958.222863372,829.041684113022,33.5030327,126.5376076,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,11:00~21:00,
7329,식품_일반음식점,술래포차,"제주특별자치도 제주시 동광로13길 1 (일도이동,(북천3로3))",156883.274154473,1037.02373996949,33.5049047,126.536791,생맥주전문점,호프/통닭,FD,음식,FD04,주점,FD040200,생맥주전문점,,
7330,식품_일반음식점,돈사돈한림협재점,"제주특별자치도 제주시 한림읍 한림중앙로 201, 1층",132278.446767623,-10669.6006567048,33.3980898,126.272888,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),14:00~16:30,
7331,식품_일반음식점,코모커피,"제주특별자치도 제주시 건주로4길 6-1, 1층 108호 (도련일동)",160893.863617276,2266.74799350785,33.5161459,126.5798988,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,08:00~18:00,
7332,식품_일반음식점,나르드카페,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층",131550.770341545,-9387.51108543635,33.4096022,126.2649693,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,12:00~23:00,
7333,식품_일반음식점,제주해도미락애월본점,"제주특별자치도 제주시 애월읍 애월로 11, 제1동 2층",135888.720719913,-3800.80540449219,33.4602368,126.3112021,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:00~21:00,수요일
7334,식품_일반음식점,우도식당,"제주특별자치도 제주시 우도면 전흘길 42, 1층",195555.978704882,2869.10996415209,33.5222843,126.9529831,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),09:00~20:00,
7335,식품_일반음식점,한결도시락,"제주특별자치도 제주시 동화로1길 9, 2층 201호 (화북일동)",160365.044787582,2646.69514293584,33.5195519,126.5741901,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7336,식품_일반음식점,불팡,"제주특별자치도 제주시 탑동로 97-1, 1층 (삼도이동)",155055.331800523,2312.51643777965,33.5163288,126.5170549,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,10:00~21:00,
7337,식품_일반음식점,배하니국수,"제주특별자치도 제주시 애월읍 하귀동남4길 10, 1층",145333.1057198,-1438.34120051669,33.4820596,126.4126424,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:30~15:00,
7338,식품_일반음식점,장금이,"제주특별자치도 제주시 애월읍 고내로 21, 1층",138517.439762442,-3429.03964264986,33.4637426,126.339451,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),08:00~20:00,
7339,식품_일반음식점,나례,제주특별자치도 제주시 평전1길 18-1 (삼도일동),155065.476345072,568.996416753141,33.5006103,126.5172516,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),11:00~24:00,
7340,식품_일반음식점,언덕위에,제주특별자치도 제주시 연동12길 지하 24 (연동),152799.729401984,-1281.72128982943,33.4838272,126.4929668,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),08:00~20:00,
7341,식품_일반음식점,남문숯불바베큐치킨이도점,"제주특별자치도 제주시 신설로11길 47, 나동 (이도이동)",157863.667125447,-173.133858966987,33.4940334,126.5473988,치킨,통닭(치킨),FD,음식,FD03,간이음식,FD030300,치킨,,
7342,식품_일반음식점,장미카페,"제주특별자치도 제주시 중앙로 81, 지하1층 (이도일동)",155733.388320109,1718.50472725424,33.5110017,126.5243824,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,,
7343,식품_일반음식점,돈사돈2호점,"제주특별자치도 제주시 광평동로 15, 1층 (노형동)",150730.154245531,-1508.89994594612,33.4816857,126.4707125,한식(일반),식육(숯불구이),FD,음식,FD01,한식,FD019900,한식(일반),12:30~22:00,
7344,식품_일반음식점,시청골목집,제주특별자치도 제주시 서광로32길 39-3 (이도이동),156266.451054981,227.040565942726,33.4975771,126.5301924,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),17:00~01:00,
7345,식품_일반음식점,청마루점,"제주특별자치도 제주시 애월읍 항몽로 71-1, 1층",144985.275038915,-1946.10358303453,33.477464,126.4089313,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),11:00~20:20,
7346,식품_일반음식점,애월치킨1호점,"제주특별자치도 제주시 애월읍 애월로 120, 1층",136705.483232334,-3349.5189000324,33.4643539,126.3199553,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),17:00~22:40,
